500 493
202 191 195
213 202 206
219 208 212
225 214 218
226 215 219
232 221 225
234 223 227
236 225 229
235 224 228
232 221 225
233 223 224
240 230 231
239 229 230
241 231 232
238 228 229
229 219 220
234 224 225
233 223 224
236 226 227
233 223 224
234 225 228
235 226 229
232 223 226
238 229 232
234 225 228
236 227 230
237 228 231
236 227 230
233 227 229
233 227 229
241 230 234
240 229 233
233 222 226
230 219 223
233 222 226
243 232 236
236 225 229
236 225 229
239 228 232
239 228 232
237 228 231
236 227 230
242 233 236
239 230 233
243 234 237
241 232 235
231 222 225
238 229 232
245 236 239
241 232 235
242 233 238
239 230 235
238 229 234
241 232 237
244 235 240
242 233 238
238 229 234
238 229 234
237 228 233
235 226 231
241 232 235
243 234 237
239 230 233
242 233 236
247 238 241
243 234 237
234 225 228
236 227 230
244 238 240
235 231 232
238 233 237
240 238 241
237 232 236
234 229 233
237 232 236
241 236 240
238 233 237
239 234 238
239 233 237
232 226 230
236 227 232
239 230 235
236 227 232
237 228 233
240 231 236
243 234 239
241 232 237
243 234 239
237 228 231
234 225 228
236 227 230
241 232 235
243 234 237
239 230 233
241 232 235
235 226 229
238 229 232
243 234 237
242 233 236
247 238 241
245 239 241
239 233 235
244 240 241
240 236 237
230 226 227
231 227 228
240 234 236
236 230 232
239 230 233
245 236 239
246 237 240
250 241 244
243 234 237
241 232 235
245 236 239
240 231 234
243 234 237
249 240 243
241 232 237
247 238 243
239 230 235
242 233 238
239 230 235
243 234 239
248 239 244
246 237 242
248 239 244
246 240 244
244 238 240
243 239 240
246 240 242
247 241 243
244 240 241
243 239 240
246 240 242
247 241 243
251 245 247
251 245 247
249 240 241
248 239 240
249 240 241
247 238 239
249 240 241
248 239 240
250 241 242
251 242 243
250 241 242
251 242 243
250 241 242
246 237 238
245 236 237
249 240 241
246 237 240
248 239 242
247 238 243
249 240 245
246 237 242
247 238 241
243 234 237
244 235 236
247 238 239
249 240 241
247 238 239
247 238 239
246 237 238
246 237 238
247 238 239
245 236 237
243 234 237
243 234 237
240 231 234
242 233 236
249 240 243
249 240 243
248 239 242
243 234 237
237 228 229
243 234 235
242 233 234
241 232 233
243 234 235
245 236 237
241 232 233
239 230 231
241 232 233
243 234 235
241 232 233
237 228 229
241 232 233
232 226 226
225 220 224
157 152 156
72 62 70
71 60 68
61 50 58
53 43 51
49 39 50
48 38 47
42 29 38
38 25 34
34 20 35
30 17 34
39 22 40
48 27 36
51 16 14
105 66 27
219 180 89
237 202 76
237 203 67
240 209 66
239 206 65
238 205 64
235 202 63
236 203 64
247 213 79
238 204 70
235 203 68
238 206 71
233 204 66
236 207 67
239 208 68
245 214 71
240 208 61
234 203 51
236 202 51
231 200 47
235 204 54
243 213 63
245 213 66
244 212 65
238 206 61
239 207 62
236 206 60
241 211 65
236 204 59
238 206 61
243 210 69
237 204 63
238 206 63
239 207 62
237 208 55
238 209 55
237 206 54
242 211 61
245 214 71
245 214 72
240 211 71
240 211 73
237 209 74
237 208 78
241 211 89
236 206 86
234 205 85
237 209 86
236 206 82
242 213 85
240 209 82
242 212 82
244 215 85
236 207 77
242 214 81
246 217 87
240 211 85
236 206 84
239 209 89
237 206 89
236 206 86
242 212 90
235 208 79
233 206 77
227 199 74
235 206 86
239 209 95
233 203 91
233 203 91
231 204 89
236 209 92
235 210 92
236 211 95
231 205 92
237 211 100
234 208 95
230 204 85
239 213 90
235 208 79
237 210 77
236 206 72
231 201 67
239 211 78
245 218 89
241 212 92
234 209 91
236 210 97
243 219 109
236 212 104
233 209 101
240 213 106
238 212 102
247 219 112
247 219 112
238 207 99
242 212 102
234 202 91
236 205 89
242 211 94
238 208 86
241 212 86
243 216 87
243 215 89
242 217 88
241 214 83
243 217 80
243 215 71
235 208 55
234 204 48
239 209 49
242 214 55
239 210 54
240 213 62
245 217 71
243 214 74
244 215 79
245 216 88
242 213 87
242 213 87
244 215 85
244 213 73
240 210 64
241 211 61
244 215 61
248 217 64
242 211 58
246 211 65
247 215 72
244 211 72
237 205 68
237 207 73
241 212 76
243 211 76
241 210 70
243 210 71
240 207 66
248 211 70
250 215 73
237 204 63
230 201 61
238 209 71
242 214 78
247 221 85
242 215 82
238 209 79
238 208 76
240 209 67
237 205 58
242 206 58
250 214 64
247 211 61
239 204 52
238 204 45
242 209 46
239 206 39
240 208 39
237 202 38
239 206 43
236 203 48
237 206 54
241 210 60
235 203 56
234 202 59
238 206 63
235 202 63
234 200 64
241 207 73
240 206 72
244 208 72
239 203 65
233 197 57
244 208 68
239 202 61
236 199 56
244 209 63
239 205 54
244 209 55
243 215 71
233 212 93
147 132 51
31 11 0
29 9 10
32 12 21
27 7 18
23 5 17
22 6 19
22 5 21
27 10 26
31 10 25
33 11 24
39 15 28
31 7 20
34 7 22
35 8 23
37 9 23
35 7 21
39 11 25
42 16 29
43 17 28
33 10 20
31 7 20
32 8 21
39 15 28
33 9 22
32 8 22
37 13 27
30 6 19
38 14 27
39 16 26
32 9 19
33 10 20
33 12 21
37 17 29
30 14 25
25 8 24
22 8 23
22 7 26
22 5 23
28 8 20
34 12 24
34 12 24
33 11 23
34 13 22
32 11 20
37 15 27
41 19 31
33 11 23
30 8 21
27 6 21
32 11 28
36 15 32
25 4 21
33 11 32
29 8 27
31 10 29
25 4 21
27 4 22
38 15 31
44 20 34
38 14 27
41 12 30
35 8 25
37 10 25
34 10 24
37 10 25
44 17 32
41 17 30
37 13 26
43 17 30
40 14 27
37 14 24
43 20 30
39 13 26
40 14 27
38 15 25
42 19 29
49 23 36
34 8 21
38 12 23
46 20 31
46 19 28
49 22 29
44 19 25
32 7 11
38 11 16
41 14 19
42 17 20
40 15 18
48 23 29
44 17 22
46 17 22
50 19 24
44 15 19
48 22 25
44 17 22
46 21 25
44 21 29
42 19 27
40 15 21
45 20 26
45 18 25
58 31 38
58 33 39
50 25 31
64 34 42
55 25 33
66 36 44
210 199 203
214 203 207
225 214 218
229 218 222
216 205 209
226 215 219
228 217 221
230 219 223
232 221 225
234 223 227
236 226 227
235 225 226
236 226 227
241 231 232
234 224 225
227 217 218
234 224 225
241 231 232
240 230 231
238 228 229
239 230 233
242 233 236
239 230 233
234 225 228
233 224 227
243 234 237
237 228 231
234 225 228
234 228 230
235 226 229
238 227 231
240 229 233
229 218 222
232 221 225
233 222 226
235 224 228
234 223 227
238 227 231
233 222 226
231 220 224
234 225 228
237 228 231
242 233 236
237 228 231
238 229 232
241 232 235
238 229 232
236 227 230
235 226 229
236 227 230
242 233 238
240 231 236
236 227 232
233 224 229
242 233 238
240 231 236
236 227 232
236 227 232
237 228 233
240 231 236
243 234 237
242 233 236
237 228 231
242 233 236
237 228 231
235 226 229
229 220 223
237 228 231
237 231 233
234 228 230
239 234 238
236 231 235
237 232 236
231 226 230
230 225 229
238 233 237
229 224 228
230 225 229
237 231 235
231 225 229
237 228 233
233 224 229
236 227 232
234 225 230
231 222 227
230 221 226
235 226 231
235 226 231
241 232 235
240 231 234
235 226 229
241 232 235
243 234 237
237 228 231
242 233 236
239 230 233
242 233 236
243 234 237
243 234 237
244 235 238
238 232 234
242 236 238
239 233 235
232 228 229
236 230 232
235 229 231
238 232 234
242 236 238
241 232 235
237 228 231
238 229 232
238 229 232
233 224 227
234 225 228
244 235 238
243 234 237
239 230 233
239 230 233
238 229 234
241 232 237
232 223 228
236 227 232
239 230 235
233 224 229
233 224 229
234 225 230
234 225 230
233 224 229
232 226 228
226 220 222
238 232 234
229 223 225
229 223 225
231 225 227
229 223 225
237 231 233
234 228 230
236 230 232
237 228 229
232 223 224
232 223 224
230 221 222
233 224 225
235 226 227
235 226 227
236 227 228
237 228 229
237 228 229
235 226 227
228 219 220
232 223 224
231 222 223
228 219 222
233 224 227
231 222 227
234 225 230
229 220 225
229 220 223
228 219 222
229 220 221
233 224 225
235 226 227
233 224 225
231 222 223
231 222 223
232 223 224
235 226 227
230 221 222
221 212 215
225 216 219
224 215 218
226 217 220
233 224 227
233 224 227
231 222 225
232 223 226
226 217 218
228 219 220
230 221 222
232 223 224
234 225 226
231 222 223
230 221 222
229 220 221
230 221 222
231 222 223
229 220 221
230 221 222
226 217 220
225 219 221
225 223 226
119 114 118
7 0 3
13 2 8
10 0 7
11 0 8
12 2 11
10 0 8
13 0 7
13 0 7
13 0 10
13 1 13
13 0 12
24 3 8
34 1 0
96 57 14
215 175 77
233 197 61
227 193 44
237 204 49
242 209 56
240 207 54
232 197 45
231 195 45
240 204 56
236 202 53
236 202 53
231 200 50
231 200 50
236 205 53
241 208 55
233 200 45
237 203 44
231 197 37
229 196 33
228 195 32
232 200 39
232 200 40
231 199 39
235 202 45
239 204 48
237 204 47
232 199 42
234 201 44
225 192 35
227 194 39
238 203 49
236 203 48
241 206 52
242 210 50
238 206 43
240 209 43
239 207 44
239 207 46
245 212 55
238 207 54
232 201 48
237 207 57
240 210 64
241 210 68
237 205 70
238 205 72
234 204 70
231 201 67
238 206 69
233 202 62
235 204 64
239 210 70
239 210 70
237 208 68
237 209 66
238 209 69
240 211 75
234 204 72
231 201 71
239 208 81
239 209 79
235 205 71
230 203 64
236 209 70
233 205 70
240 211 81
240 210 86
232 202 80
232 202 80
234 204 82
241 213 88
237 209 84
235 206 86
234 205 85
236 207 87
240 212 89
236 207 81
239 211 78
235 206 70
236 208 65
236 205 62
236 206 60
240 209 67
242 213 75
239 211 78
238 211 82
240 212 87
239 213 92
232 206 87
235 208 91
238 211 94
236 209 94
240 210 96
240 210 96
238 209 92
242 211 94
243 213 93
242 210 87
241 210 85
240 210 80
243 213 79
244 216 81
246 220 84
245 219 83
245 218 79
243 216 73
241 214 63
246 218 59
244 215 51
239 211 42
241 213 44
242 213 47
244 216 54
245 216 60
241 212 59
239 211 65
241 212 72
247 218 80
248 219 81
246 217 77
246 216 68
244 215 61
242 213 57
241 213 52
245 216 54
244 215 53
247 214 57
245 212 59
241 210 60
240 210 62
239 209 63
238 210 64
243 213 67
246 216 68
243 212 62
243 209 58
246 212 61
247 213 62
240 209 59
240 210 62
243 212 69
243 215 72
244 217 74
241 214 73
241 212 76
245 216 78
247 215 70
240 207 54
240 205 49
244 210 51
246 210 51
244 211 48
242 208 40
240 208 35
241 208 33
241 208 33
238 205 32
238 204 36
233 202 36
236 204 43
238 205 48
235 202 47
235 202 49
239 205 54
240 206 57
235 200 54
234 199 55
241 206 62
236 201 55
236 202 53
233 197 47
241 206 54
236 201 49
236 201 47
241 206 50
235 201 41
239 206 41
240 211 58
230 210 87
141 126 43
30 10 0
22 2 3
26 7 13
30 10 19
24 7 17
17 1 12
15 1 16
20 3 19
25 5 17
25 4 13
32 9 19
33 10 20
32 9 19
33 7 18
33 7 18
30 3 12
32 4 16
31 5 14
31 8 16
31 8 16
31 8 16
26 3 11
31 8 16
29 6 16
23 0 10
28 5 15
27 4 14
31 8 16
34 11 19
28 5 13
28 5 13
26 5 12
28 8 17
24 8 18
19 3 14
18 4 17
18 4 19
18 2 15
26 6 17
26 5 14
28 7 16
28 7 16
23 2 11
24 3 12
27 6 15
27 6 15
27 6 15
29 7 19
26 6 18
30 10 22
25 5 17
27 7 19
27 6 21
27 6 21
25 5 17
27 7 19
32 10 23
32 10 23
41 19 31
31 7 20
32 5 20
32 5 20
26 2 15
31 7 20
26 2 15
35 11 24
35 11 24
28 4 17
33 9 22
35 11 24
28 5 15
33 10 20
32 8 21
35 11 24
33 10 20
29 8 17
32 8 21
28 5 15
28 5 15
39 16 24
41 15 24
35 10 16
36 13 19
25 3 6
29 4 8
31 6 10
29 7 9
43 21 24
36 13 19
35 10 16
35 8 13
42 13 17
42 13 18
38 11 16
34 9 13
40 17 23
41 18 26
36 13 21
35 10 16
43 18 24
48 21 28
56 29 36
50 23 30
48 21 28
57 27 35
60 30 38
63 33 41
212 201 205
213 202 206
219 208 212
226 215 219
222 211 215
228 217 221
226 215 219
227 216 220
231 220 224
232 221 225
229 219 220
236 226 227
238 228 229
234 224 225
232 222 223
237 227 228
234 224 225
238 228 229
234 224 225
236 226 227
241 232 235
241 232 235
238 229 232
237 228 231
235 226 229
240 231 234
238 229 232
237 228 231
238 229 232
236 227 230
239 228 232
242 231 235
229 218 222
233 222 226
238 227 231
236 225 229
232 221 225
237 226 230
227 216 220
234 223 227
241 232 235
240 231 234
243 234 237
242 233 236
240 231 234
241 232 235
240 231 234
236 227 230
237 228 231
237 228 231
240 231 236
237 228 233
236 227 232
238 229 234
239 230 235
237 228 233
240 231 236
237 228 233
234 225 230
236 227 232
238 229 232
238 229 232
237 228 231
242 233 236
235 226 229
236 227 230
236 227 230
244 235 238
234 228 230
239 233 235
240 234 238
230 224 228
240 234 238
236 230 234
