497 500
216 217 221
219 220 224
220 218 223
218 216 221
218 217 222
219 218 223
215 214 220
212 211 217
215 214 220
216 215 221
217 216 222
221 220 226
214 215 220
217 218 223
224 225 230
223 224 229
221 222 227
221 222 227
222 221 227
218 217 223
217 216 222
221 220 226
223 222 228
219 218 224
218 217 225
218 217 225
218 215 222
216 213 220
220 219 224
222 221 226
222 221 226
221 220 225
215 216 218
216 217 219
223 224 226
220 221 223
224 228 229
226 230 231
228 228 228
232 232 232
231 232 234
230 231 233
232 232 234
229 227 230
229 224 228
234 228 232
236 230 234
238 233 237
230 225 231
228 226 231
229 228 233
225 224 229
230 228 231
229 227 230
228 226 229
234 232 235
235 233 236
232 230 233
230 228 231
233 231 234
227 225 228
233 231 234
237 235 238
226 224 227
222 220 223
219 217 220
223 223 225
226 226 228
220 219 224
223 222 227
228 227 232
225 224 229
224 224 226
224 224 226
220 220 220
219 219 219
223 219 220
223 219 220
222 220 221
221 219 220
223 221 224
217 217 219
220 220 222
219 220 222
218 221 226
215 220 224
208 212 221
199 208 217
190 198 211
177 189 205
167 182 203
164 180 203
159 177 199
159 177 197
164 185 202
168 190 203
161 185 197
154 179 186
154 174 183
158 178 185
162 181 187
160 179 186
156 173 183
150 169 184
154 176 197
156 186 214
151 183 222
127 165 214
76 122 181
44 94 163
28 80 163
22 75 167
25 79 177
18 73 176
15 74 178
25 88 191
29 94 194
24 93 188
24 90 186
26 92 186
29 93 190
16 79 176
18 78 176
24 80 175
19 70 161
33 80 162
79 117 188
112 144 205
146 172 221
157 179 218
160 176 202
167 180 197
169 178 193
167 175 186
167 171 183
163 167 179
164 163 177
173 172 186
178 180 195
172 175 190
169 177 190
173 183 193
163 176 185
162 177 182
166 181 186
161 179 181
160 177 184
163 180 187
160 177 185
159 176 184
162 174 186
160 172 184
162 171 188
167 176 193
163 168 188
160 165 185
161 168 186
169 176 194
170 177 193
169 177 190
173 177 189
176 180 189
179 184 188
179 185 185
174 180 180
171 175 174
179 174 178
182 171 175
186 168 168
188 159 153
205 162 143
216 162 128
216 150 100
222 143 86
224 128 70
204 88 37
179 43 5
177 22 0
192 14 2
194 7 0
199 7 4
213 24 20
217 32 29
202 13 11
208 6 6
221 8 10
225 2 7
232 6 8
228 4 5
227 5 4
228 6 5
227 8 6
226 7 5
226 7 5
228 5 6
226 6 6
228 8 8
226 14 11
216 12 11
200 17 13
183 24 21
148 22 25
116 29 46
90 39 70
49 33 82
35 44 109
36 59 139
28 64 152
24 63 154
21 66 157
20 64 159
18 65 157
25 73 158
39 83 154
69 108 151
110 139 143
163 182 137
207 213 125
218 212 90
229 209 62
240 207 42
244 201 26
249 200 19
250 200 17
246 200 19
241 199 19
241 198 21
239 198 18
244 200 15
248 206 24
244 203 33
238 204 55
228 200 90
183 165 93
116 106 79
59 57 70
36 36 88
30 37 109
33 44 124
68 84 159
127 146 202
181 199 237
213 228 251
224 234 244
227 230 235
230 231 233
237 237 237
235 235 235
233 234 238
232 233 235
235 233 236
231 229 230
236 230 230
228 222 224
229 223 227
237 232 238
227 225 230
230 229 234
228 229 233
226 227 231
223 223 225
221 221 223
223 223 225
230 229 227
237 230 224
236 223 206
236 215 184
235 208 153
231 196 112
221 184 70
226 183 45
232 186 30
237 185 21
245 193 21
247 191 20
247 191 18
248 195 19
246 193 17
247 189 17
248 190 18
248 190 21
248 190 21
244 188 17
247 191 20
247 194 20
248 195 19
249 198 19
247 199 15
247 199 13
245 200 9
247 203 10
249 205 10
246 202 5
246 202 5
252 205 13
249 202 11
249 201 13
250 202 18
252 201 22
251 194 27
239 173 27
226 141 25
201 89 13
175 38 0
174 14 0
188 11 5
193 9 9
194 4 6
201 5 9
196 2 3
190 0 4
184 1 3
183 11 9
184 12 8
190 11 7
210 18 15
223 13 16
226 5 10
227 4 9
222 8 10
212 14 15
187 14 8
169 25 16
161 47 36
167 88 75
194 142 131
223 190 183
238 220 216
242 234 231
242 241 239
244 242 243
242 243 245
244 245 250
240 243 248
237 236 241
239 238 243
240 238 241
239 237 240
243 239 240
240 236 237
233 231 234
234 232 235
242 240 245
239 237 242
233 230 237
236 233 240
240 238 243
240 238 243
238 236 239
240 238 241
238 236 239
238 236 239
236 234 237
236 234 237
240 238 239
240 238 239
242 240 243
243 241 244
239 237 242
235 233 238
237 235 238
239 237 240
232 230 231
241 239 240
246 246 248
240 241 243
234 235 240
211 216 220
191 196 202
181 188 196
175 184 193
168 178 190
170 182 196
162 175 191
166 182 197
172 190 204
167 185 199
165 184 198
160 179 193
162 182 193
165 185 196
166 186 195
171 189 199
167 185 195
163 181 195
168 186 200
169 188 203
165 184 199
162 179 197
164 179 198
169 182 199
174 182 201
176 183 201
179 185 201
179 181 194
179 179 189
188 187 195
202 200 205
214 207 214
225 219 223
241 232 235
237 228 231
236 230 234
240 235 239
242 237 243
240 238 243
233 230 237
238 235 242
243 241 246
235 233 238
231 229 232
239 237 240
242 240 243
238 236 239
237 235 240
245 243 248
240 238 241
233 231 234
240 238 241
240 238 241
234 232 235
240 238 241
239 237 242
242 240 245
242 240 245
241 239 244
238 236 241
235 233 238
242 240 245
242 240 245
241 239 244
236 234 239
226 224 227
232 230 233
243 241 244
238 236 239
239 237 240
241 239 242
233 231 234
234 232 235
240 238 241
237 235 238
229 227 230
232 230 233
234 232 235
231 229 232
239 237 240
243 241 244
242 240 245
241 239 244
237 232 236
239 234 238
241 236 240
238 233 237
235 230 234
235 230 234
243 238 242
245 240 244
236 231 235
234 229 233
237 235 238
233 231 234
231 226 230
238 233 237
243 237 241
241 235 239
239 234 240
237 232 238
233 231 236
231 229 234
229 227 232
222 220 223
225 223 226
230 228 229
232 228 229
233 229 230
230 226 227
230 226 227
230 225 229
221 216 220
219 214 218
222 217 221
225 220 224
225 220 224
220 215 219
220 215 219
227 223 224
233 229 230
236 232 233
227 223 224
222 217 223
230 225 231
227 225 230
218 216 221
217 215 218
226 224 227
232 230 233
224 222 225
225 223 226
232 230 233
217 218 222
218 217 222
221 219 224
221 219 224
216 215 220
216 215 220
218 217 223
219 218 224
218 217 223
215 214 220
216 215 221
220 219 225
214 215 220
218 219 224
223 224 229
221 222 227
224 225 230
227 228 233
224 223 229
220 219 225
219 218 224
221 220 226
222 221 227
217 216 222
218 217 225
216 215 223
216 213 220
215 212 219
222 221 226
228 227 232
225 224 229
221 220 225
223 224 226
225 226 228
222 223 225
221 222 224
223 224 226
223 224 226
225 226 228
232 232 234
230 231 233
232 233 235
231 231 233
227 225 228
228 223 227
230 224 228
232 226 230
234 227 234
227 222 228
224 222 227
229 227 232
227 226 231
230 228 231
227 225 228
229 227 230
232 230 233
226 224 227
232 230 233
236 234 237
234 232 235
232 230 233
232 230 233
230 228 231
226 224 227
231 229 232
227 225 228
219 219 221
216 216 218
219 218 223
221 220 225
222 221 226
223 222 227
224 223 228
222 222 224
216 216 216
217 215 216
221 219 220
221 219 220
221 219 220
225 223 224
226 224 227
219 217 220
226 226 228
224 225 227
223 224 228
220 223 228
216 221 227
210 217 227
206 214 225
192 201 216
174 187 206
164 179 200
161 178 198
157 175 195
161 180 197
163 185 199
159 181 194
155 177 188
159 182 190
164 184 191
160 179 186
149 168 175
157 173 186
152 171 186
152 174 195
150 177 206
134 166 205
81 119 168
37 82 141
27 77 148
22 74 157
23 78 169
25 79 179
18 75 180
18 79 185
24 87 192
23 88 188
19 87 184
23 89 183
34 100 194
38 102 199
23 87 184
22 81 181
22 77 177
16 69 161
27 73 158
52 91 166
80 114 177
127 155 205
158 180 219
160 177 203
168 181 198
168 176 189
165 172 182
165 169 180
171 173 185
180 180 192
180 179 193
183 182 196
178 181 196
172 180 193
