235 500
225 9 12
225 6 10
226 5 10
228 5 10
230 4 15
228 4 14
226 4 15
225 8 17
222 7 14
220 7 13
221 7 15
222 8 16
222 9 15
220 7 13
220 7 13
220 7 13
224 7 15
225 8 16
225 8 17
227 10 19
225 8 17
225 8 17
228 8 20
229 9 21
230 10 22
231 11 23
231 11 23
231 11 23
231 11 21
231 11 21
231 11 21
229 14 21
225 14 20
225 23 23
243 51 48
238 46 43
231 27 28
226 16 19
228 11 20
231 11 21
232 11 20
232 11 20
233 11 22
234 12 23
233 14 22
232 15 23
232 16 21
231 16 21
230 15 20
230 15 20
231 14 22
231 14 22
231 14 22
230 13 21
231 14 22
231 14 22
233 16 24
232 15 23
234 15 23
234 15 23
233 14 20
233 14 20
230 13 22
231 14 23
234 14 24
234 14 24
234 14 24
233 13 23
233 13 23
232 12 22
235 11 21
235 11 21
237 13 23
238 14 24
238 14 24
239 15 25
239 15 25
239 15 25
239 15 25
237 13 23
235 13 26
235 13 26
234 12 23
235 13 24
235 14 23
234 13 22
235 13 24
234 13 22
233 12 21
233 12 19
235 11 21
234 13 22
234 13 20
233 14 20
235 14 23
236 15 24
235 16 22
233 14 20
234 13 22
233 12 21
233 14 20
233 14 20
233 14 22
233 14 22
234 13 22
238 17 26
239 15 25
238 14 24
238 14 22
239 15 23
239 15 23
239 15 23
239 16 21
239 16 21
240 17 22
240 17 22
237 16 21
238 17 22
237 18 24
235 16 22
233 14 18
235 16 20
235 16 20
234 15 19
233 14 18
234 15 19
235 16 20
234 15 19
238 14 22
243 18 26
246 16 26
242 17 23
229 14 12
198 24 23
198 97 101
239 179 189
255 222 234
255 184 198
195 75 87
193 27 37
226 19 29
239 12 19
241 12 19
238 12 16
237 12 20
235 14 21
234 12 23
232 12 22
233 12 21
233 12 21
233 14 20
233 14 18
230 14 17
230 14 15
234 14 16
237 17 19
235 17 18
234 16 17
233 14 20
232 13 19
232 13 17
232 13 17
231 12 18
232 13 19
233 14 18
233 14 18
233 14 18
232 13 17
231 12 16
231 12 16
232 13 19
232 13 19
232 13 19
232 13 19
232 13 19
234 15 21
235 16 20
234 15 19
231 12 18
231 12 16
232 13 17
232 14 15
230 11 17
230 11 17
232 13 17
232 13 17
233 14 22
232 13 21
231 12 18
230 11 17
230 9 18
229 8 17
229 10 16
229 10 16
229 10 18
229 10 18
231 12 18
230 11 17
230 9 18
231 10 19
231 10 17
231 10 17
230 9 18
231 10 19
230 11 17
232 13 19
232 11 20
231 10 19
229 8 15
227 6 13
227 8 14
227 8 14
227 8 12
227 8 12
226 7 13
227 8 14
228 9 15
228 9 15
229 8 17
229 8 17
229 8 15
227 6 13
227 6 15
227 6 15
228 7 14
230 9 16
228 7 16
228 7 16
226 7 13
226 7 13
226 7 15
226 7 15
226 10 15
227 11 16
226 10 15
224 8 13
223 7 10
222 6 9
224 5 9
224 5 9
222 6 9
222 6 9
225 6 10
224 5 9
222 6 9
223 7 10
224 8 13
223 7 12
